raw_value,normalized_value,count
S/D,S/D,1508
San Francisco,San Francisco,30
Londres,Londres,24
New York,New York,16
Buenos Aires,Buenos Aires,11
Cambridge,Cambridge,9
Aberdeen,Aberdeen,8
Tel Aviv,Tel Aviv,8
Boston,Boston,7
Delhi,Delhi,7
Ha,S/D,7
São Paulo,São Paulo,7
Toronto,Toronto,7
Berlín,Berlín,6
Houston,Houston,6
París,París,6
Países Bajos,S/D,6
Santa Fe,Santa Fe,6
Dubnov 7,S/D,5
Haifa,Haifa,5
Los Ángeles,los Ángeles,5
Madrid,Madrid,5
Washington,Washington,5
85 Medinat Hayehudim,S/D,4
Bangalore,Bangalore,4
Córdoba,Córdoba,4
Ginebra,Ginebra,4
Herzliya,Herzliya,4
Múnich,Múnich,4
Ramat Gan,Ramat Gan,4
Rothschild Boulevard 45,S/D,4
Sydney,Sydney,4
Woburn,Woburn,4
17 Tchelet,S/D,3
2 Tushiya,S/D,3
22 Maskit,S/D,3
6 Hanechoshet,S/D,3
68 Einstein,S/D,3
7 Dubnov,S/D,3
98 Yigal Alon,S/D,3
Barcelona,Barcelona,3
Berkeley,Berkeley,3
Bristol,Bristol,3
Ciudad de Kuwait,Ciudad de Kuwait,3
Ciudad de México,Ciudad de México,3
Colonia,Colonia,3
Dublín,Dublín,3
Edimburgo,Edimburgo,3
España,S/D,3
Gante,Gante,3
HaBalan St 3,S/D,3
Helsinki,Helsinki,3
Medinat ha,S/D,3
Providence,Providence,3
Santiago,Santiago,3
Shanghai,Shanghai,3
Shenzhen,Shenzhen,3
Singapur,S/D,3
Vancouver,Vancouver,3
Viena,Viena,3
WeWork,S/D,3
1 Habarzel,S/D,2
10 Haamal,S/D,2
124 Ibn Gabirol,S/D,2
125 Yigal Alon,S/D,2
13 Shocken,S/D,2
14 Nahmani,S/D,2
16 Sderot Abba Eban,S/D,2
2 HaTa'asiya,S/D,2
2 Hamelacha,S/D,2
23 Menachem Begin,S/D,2
24 Imber,S/D,2
24 Raoul Wallenberg,S/D,2
27 Maskit,S/D,2
30 Kalischer,S/D,2
32 Habarzel,S/D,2
4 Bezalel,S/D,2
4 Ein Zeitim,S/D,2
4 HaMelacha,S/D,2
45 Rothschild Blvd,S/D,2
6 Yad Harutzim,S/D,2
7 Atidim,S/D,2
7 Derech Menachem Begin,S/D,2
7 HaSadna,S/D,2
8 HaMarpe,S/D,2
85 Medinat HaYehudim St. Herzliya,S/D,2
90 Menachem Begin,S/D,2
Aluf Kalman Magen 3,S/D,2
Amsterdam,Amsterdam,2
Argentina,S/D,2
Arieh Shenkar Street,S/D,2
Atir Yeda Street 15,S/D,2
Austin,Austin,2
Boulder,Boulder,2
Copenhague,Copenhague,2
Corea del Sur,S/D,2
Davis,Davis,2
Denver,Denver,2
Derech Menachem Begin 114,S/D,2
Dortmund,Dortmund,2
Dubnov Street 7,S/D,2
Düsseldorf,Düsseldorf,2
El Segundo,El Segundo,2
Enschede,Enschede,2
Espoo,Espoo,2
Estocolmo,Estocolmo,2
Francia,S/D,2
Galgalei ha,S/D,2
Gurugram,Gurugram,2
HaBalan Street 3,S/D,2
HaHaroshet Street 25,S/D,2
HaNamal 28,S/D,2
HaTidhar Street,S/D,2
Hanói,Hanói,2
Jabotinsky 7,S/D,2
Kiryat Atidim,Kiryat Atidim,2
Lagos,Lagos,2
Manila,Manila,2
Melbourne,Melbourne,2
Menachem Begin Road 20,S/D,2
Menlo Park,Menlo Park,2
Milán,Milán,2
Montreal,Montreal,2
Mumbai,Mumbai,2
No contacto visible,No Contacto Visible,2
Noruega,S/D,2
Oakland,Oakland,2
Oklahoma City,Oklahoma City,2
Oxford,Oxford,2
Palo Alto,Palo Alto,2
Pesaro,Pesaro,2
Petah Tikva,Petah Tikva,2
Ra'anana,Ra'anana,2
Ramat Hasharon,Ramat Hasharon,2
Raoul Wallenberg St 24,S/D,2
Rosh Haayin,Rosh Haayin,2
Rothschild Boulevard,S/D,2
Rotterdam,Rotterdam,2
San Jose,San Jose,2
Seoul,Seoul,2
Shevah 7,S/D,2
Stavanger,Stavanger,2
