raw_value,normalized_value,count
S/D,S/D,1255
Israel,Israel,966
Estados Unidos,Estados Unidos,265
Reino Unido,Reino Unido,78
China,China,46
Alemania,Alemania,39
India,India,32
Argentina,Argentina,28
Países Bajos,Países Bajos,20
Francia,Francia,17
España,España,16
Suecia,Suecia,14
Brasil,Brasil,12
Australia,Australia,11
Suiza,Suiza,11
Canadá,Canadá,9
Irlanda,Irlanda,8
Noruega,Noruega,8
Finlandia,Finlandia,7
Bélgica,Bélgica,6
Canada,Canadá,6
Chile,Chile,5
Corea del Sur,Corea del Sur,5
Italia,Italia,5
Singapur,Singapur,5
Dinamarca,Dinamarca,4
Austria,Austria,3
Kuwait,Kuwait,3
Nigeria,Nigeria,3
Portugal,Portugal,3
Vietnam,Vietnam,3
Argentina / Brasil,S/D,2
Bulgaria,Bulgaria,2
Colombia,Colombia,2
Estados Unidos.,Estados Unidos,2
Estonia,Estonia,2
Filipinas,Filipinas,2
France,Francia,2
Japón,Japón,2
Kenya,Kenya,2
Mexico,México,2
Polonia,Polonia,2
Slovenia,Slovenia,2
Azerbaijan,Azerbaijan,1
Baréin,Baréin,1
Brazil,Brasil,1
Czechia,República Checa,1
D Brasil,Brasil,1
Egipto,Egipto,1
Emiratos Árabes Unidos,Emiratos Árabes Unidos,1
Indonesia,Indonesia,1
Inglaterra,Reino Unido,1
Iraq,Iraq,1
Islandia,Islandia,1
Japan,Japón,1
Latvia,Latvia,1
Luxemburgo,Luxemburgo,1
Malaysia,Malaysia,1
México,México,1
New Zealand,New Zealand,1
Oman,Oman,1
Paraguay,Paraguay,1
Peru,Perú,1
Reino Unidoraine,Reino Unido,1
República Checa,República Checa,1
Rusia,Rusia,1
Serbia,Serbia,1
Singapore,Singapur,1
South Africa,South Africa,1
Turquía,Turquía,1
UAE,Emiratos Árabes Unidos,1
Ucrania,Ucrania,1
United Kingdom,Reino Unido,1
🇨🇦 Canada,Canadá,1
