name,country_raw,country_normalized,region_raw,region_normalized,city_raw,city_normalized,review_reasons
Vytal,Alemania,Alemania,Renania del Norte,S/D,Colonia,Colonia,region_removed_or_unresolved
Recove,India,India,S/D,S/D,India,S/D,city_removed_or_unresolved
Paptic,Finlandia,Finlandia,Finlandiaia,S/D,Espoo,Espoo,region_removed_or_unresolved
METYCLE,Alemania,Alemania,Alemania,S/D,Colonia,Colonia,region_removed_or_unresolved
Eeden,Alemania,Alemania,Alemania,S/D,Münster,Münster,region_removed_or_unresolved
Metalshub,Alemania,Alemania,Alemania,S/D,Düsseldorf,Düsseldorf,region_removed_or_unresolved
Recyda GmbH,Alemania,Alemania,Alemania,S/D,Friburgo de Brisgovia,Friburgo de Brisgovia,region_removed_or_unresolved
Fazla Gıda,Turquía,Turquía,Turquía,S/D,Estambul,Estambul,region_removed_or_unresolved
Matter.,Reino Unido,Reino Unido,Reino Unido,S/D,Bristol,Bristol,region_removed_or_unresolved
eureciclo,Brasil,Brasil,Brasil,S/D,São Paulo,São Paulo,region_removed_or_unresolved
Ionic Technologies,Reino Unido,Reino Unido,Irlanda del Norte,S/D,Belfast,Belfast,region_removed_or_unresolved
Ecobean,Polonia,Polonia,Polonia,S/D,Varsovia,Varsovia,region_removed_or_unresolved
Cyclize,Alemania,Alemania,S/D,S/D,Alemania,S/D,city_removed_or_unresolved
Horen,China,China,S/D,S/D,China,S/D,city_removed_or_unresolved
Resortecs,Bélgica,Bélgica,Lievegem,S/D,Bruselas,Bruselas,region_removed_or_unresolved
Tiptapp,Suecia,Suecia,S/D,S/D,Suecia,S/D,city_removed_or_unresolved
Kokhavynska Paper Factory,Ucrania,Ucrania,S/D,S/D,Ucrania,S/D,city_removed_or_unresolved
Plastiks,España,España,S/D,S/D,España,S/D,city_removed_or_unresolved
ALIER,España,España,S/D,S/D,España,S/D,city_removed_or_unresolved
ScrapAd,España,España,Madrid,S/D,Eibar,Eibar,region_removed_or_unresolved
Umincorp,Países Bajos,Países Bajos,S/D,S/D,Países Bajos,S/D,city_removed_or_unresolved
Mimbly,Suecia,Suecia,S/D,S/D,Suecia,S/D,city_removed_or_unresolved
Tri’n’collect,Francia,Francia,S/D,S/D,Francia,S/D,city_removed_or_unresolved
Loopfront,Noruega,Noruega,S/D,S/D,Noruega,S/D,city_removed_or_unresolved
Myco,República Checa,República Checa,S/D,S/D,República Checa,S/D,city_removed_or_unresolved
MarinaTex,Reino Unido,Reino Unido,S/D,S/D,Reino Unido,S/D,city_removed_or_unresolved
AMCS Group,Irlanda,Irlanda,Irlanda,S/D,Limerick,Limerick,region_removed_or_unresolved
SpexAI GmbH,Países Bajos,Países Bajos,S/D,S/D,Países Bajos,S/D,city_removed_or_unresolved
Fortera,Estados Unidos.,Estados Unidos,S/D,S/D,Estados Unidos.,S/D,city_removed_or_unresolved
NoTraffic,Israel,Israel,S/D,S/D,Israel,S/D,city_removed_or_unresolved
Natron Energy,Estados Unidos,Estados Unidos,CA,S/D,Santa Clara,Santa Clara,region_removed_or_unresolved
Mill,Estados Unidos,Estados Unidos,CA,S/D,San Francisco,San Francisco,region_removed_or_unresolved
itselectric,Estados Unidos,Estados Unidos,NY,S/D,New York,New York,region_removed_or_unresolved
Charm Industrial,Estados Unidos,Estados Unidos,CA,S/D,San Francisco,San Francisco,region_removed_or_unresolved
VEMO,España,España,Latam,S/D,España,S/D,"region_removed_or_unresolved, city_removed_or_unresolved"
ChargerHelp!,Estados Unidos,Estados Unidos,CA,S/D,Los Ángeles,los Ángeles,region_removed_or_unresolved
Mycocycle,Estados Unidos,Estados Unidos,IL,S/D,Chicago,Chicago,region_removed_or_unresolved
Pachama,Estados Unidos,Estados Unidos,CA,S/D,San Francisco,San Francisco,region_removed_or_unresolved
Electric Hydrogen,Estados Unidos,Estados Unidos,CA,S/D,San Carlos,San Carlos,region_removed_or_unresolved
WattBuy,Estados Unidos,Estados Unidos,NY,S/D,New York,New York,region_removed_or_unresolved
Turntide Technologies,Estados Unidos,Estados Unidos,CA,S/D,San Jose,San Jose,region_removed_or_unresolved
Symbrosia,Estados Unidos,Estados Unidos,Kona,S/D,Kailua,Kailua,region_removed_or_unresolved
Northvolt,Suecia,Suecia,Skellefteå,S/D,Estocolmo,S/D,"region_removed_or_unresolved, city_removed_or_unresolved"
ZeroAvia,Reino Unido,Reino Unido,CA,S/D,Hollister,Hollister,region_removed_or_unresolved
Lunar Energy,Estados Unidos,Estados Unidos,CA,S/D,San Jose,San Jose,region_removed_or_unresolved
BlocPower,Estados Unidos,Estados Unidos,NY,S/D,New York,New York,region_removed_or_unresolved
Elcogen,Finlandia,Finlandia,Helsinki,S/D,Tallinn,Tallinn,region_removed_or_unresolved
ALKEMIO,Países Bajos,Países Bajos,S/D,S/D,Países Bajos,S/D,city_removed_or_unresolved
Thorizon,Países Bajos,Países Bajos,S/D,S/D,Países Bajos,S/D,city_removed_or_unresolved
Zendure,Alemania,Alemania,Shenzhen,S/D,Berlín,Berlín,region_removed_or_unresolved
Alternative Plants,Países Bajos,Países Bajos,S/D,S/D,Países Bajos,S/D,city_removed_or_unresolved
Actual Veggies,Estados Unidos,Estados Unidos,NY,S/D,New York,New York,region_removed_or_unresolved
NuCicer,Estados Unidos,Estados Unidos,CA,S/D,Davis,Davis,region_removed_or_unresolved
Blue Diamond Growers,Estados Unidos,Estados Unidos,CA,S/D,Sacramento,Sacramento,region_removed_or_unresolved
Van Leeuwen Ice Cream,Estados Unidos,Estados Unidos,NY,S/D,New York,New York,region_removed_or_unresolved
Shinkei Systems,Estados Unidos,Estados Unidos,CA,S/D,San Francisco,San Francisco,region_removed_or_unresolved
UPSIDE Foods,Estados Unidos,Estados Unidos,CA,S/D,Berkeley,Berkeley,region_removed_or_unresolved
Purely Elizabeth,Estados Unidos,Estados Unidos,CO,S/D,Boulder,Boulder,region_removed_or_unresolved
Savor,Estados Unidos,Estados Unidos,CA,S/D,San Francisco,San Francisco,region_removed_or_unresolved
UMAMI Bioworks,Singapur,Singapur,S/D,S/D,Singapur,S/D,city_removed_or_unresolved
Sproud,Bélgica,Bélgica,S/D,S/D,Bélgica,S/D,city_removed_or_unresolved
Beyond Snáck,India,India,Kerala,S/D,Kochi,S/D,"region_removed_or_unresolved, city_removed_or_unresolved"
Vicentin S.A.I.C.,Argentina,Argentina,Santa Fe,S/D,Avellaneda,S/D,"region_removed_or_unresolved, city_removed_or_unresolved"
Growthwell Group,Singapur,Singapur,S/D,S/D,Singapur,S/D,city_removed_or_unresolved
Nordic SeaFarm,Noruega,Noruega,S/D,S/D,Noruega,S/D,city_removed_or_unresolved
Olipop,Estados Unidos,Estados Unidos,CA,S/D,Oakland,Oakland,region_removed_or_unresolved
Brightseed,Estados Unidos,Estados Unidos,CA,S/D,San Francisco,San Francisco,region_removed_or_unresolved
FLY BY JING,Estados Unidos,Estados Unidos,CA,S/D,Los Ángeles,los Ángeles,region_removed_or_unresolved
Prime Roots,Estados Unidos,Estados Unidos,CA,S/D,Berkeley,Berkeley,region_removed_or_unresolved
Uncle Nearest,Estados Unidos,Estados Unidos,TN,S/D,Shelbyville,S/D,"region_removed_or_unresolved, city_removed_or_unresolved"
Little Spoon,Estados Unidos,Estados Unidos,NY,S/D,New York,New York,region_removed_or_unresolved
Liquid Death,Estados Unidos,Estados Unidos,CA,S/D,Los Ángeles,los Ángeles,region_removed_or_unresolved
Chef Robotics,Estados Unidos,Estados Unidos,CA,S/D,San Francisco,San Francisco,region_removed_or_unresolved
Bulletproof,Estados Unidos,Estados Unidos,CA,S/D,Los Ángeles,los Ángeles,region_removed_or_unresolved
Hint,Estados Unidos,Estados Unidos,CA,S/D,San Francisco,San Francisco,region_removed_or_unresolved
Health-Ade,Estados Unidos,Estados Unidos,CA,S/D,Los Ángeles,los Ángeles,region_removed_or_unresolved
MarginEdge,Estados Unidos,Estados Unidos,VA,S/D,Arlington,S/D,"region_removed_or_unresolved, city_removed_or_unresolved"
Boisson,Estados Unidos,Estados Unidos,NY,S/D,New York,New York,region_removed_or_unresolved
Voltus,Estados Unidos,Estados Unidos,CA,S/D,San Francisco,San Francisco,region_removed_or_unresolved
Convergent Energy and Power,Estados Unidos,Estados Unidos,NY,S/D,New York,New York,region_removed_or_unresolved
Stream BioEnergy,Irlanda,Irlanda,S/D,S/D,Irlanda,S/D,city_removed_or_unresolved
Crusoe Energy Systems,Estados Unidos,Estados Unidos,CO,S/D,Denver,Denver,region_removed_or_unresolved
Trafigura,Singapur,Singapur,Singapur,S/D,Ginebra,Ginebra,region_removed_or_unresolved
Shell Petroleum Development Company of Nigeria,Nigeria,Nigeria,Port Harcourt,S/D,Lagos,Lagos,"region_removed_or_unresolved, region_looks_like_address"
Proteus,Estados Unidos,Estados Unidos,DE,S/D,Milford,Milford,region_removed_or_unresolved
DynaMac Holdings,Singapore,Singapur,S/D,S/D,Singapur,S/D,city_removed_or_unresolved
Lwart Environmental Solutions,Brasil,Brasil,SP,S/D,Lençóis Paulista,S/D,"region_removed_or_unresolved, city_removed_or_unresolved"
ML One,Estados Unidos,Estados Unidos,CO,S/D,Denver,Denver,region_removed_or_unresolved
Collectif Énergie,Francia,Francia,S/D,S/D,Francia,S/D,city_removed_or_unresolved
Bisonte,Polonia,Polonia,S/D,S/D,Polonia,S/D,city_removed_or_unresolved
Radiant Nuclear,Estados Unidos,Estados Unidos,CA,S/D,El Segundo,El Segundo,region_removed_or_unresolved
Koolboks,France,Francia,Africa,S/D,París,París,region_removed_or_unresolved
DroneDeploy,Estados Unidos,Estados Unidos,CA,S/D,San Francisco,San Francisco,region_removed_or_unresolved
Mainspring Energy,Estados Unidos,Estados Unidos,CA,S/D,Menlo Park,Menlo Park,"region_removed_or_unresolved, city_looks_like_address"
SPAN,Estados Unidos,Estados Unidos,CA,S/D,San Francisco,San Francisco,region_removed_or_unresolved
Nitricity,Estados Unidos,Estados Unidos,CA,S/D,San Francisco,San Francisco,region_removed_or_unresolved
Arevon Energy,Estados Unidos,Estados Unidos,AZ,S/D,Scottsdale,S/D,"region_removed_or_unresolved, city_removed_or_unresolved"
Deep Isolation,Estados Unidos,Estados Unidos,CA,S/D,Berkeley,Berkeley,region_removed_or_unresolved
Electra,Estados Unidos,Estados Unidos,CO,S/D,Boulder,Boulder,region_removed_or_unresolved
Moleaer,Estados Unidos,Estados Unidos,CA,S/D,Torrance,Torrance,region_removed_or_unresolved
Bidgely,Estados Unidos,Estados Unidos,CA,S/D,Los Altos,los Altos,region_removed_or_unresolved
Form Energy,Estados Unidos,Estados Unidos,WV,S/D,Weirton,S/D,"region_removed_or_unresolved, city_removed_or_unresolved"
Mosaic Solar Finance,Estados Unidos,Estados Unidos,CA,S/D,Oakland,Oakland,region_removed_or_unresolved
EDP Asia Pacific,Portugal,Portugal,Asia,S/D,Lisboa,Lisboa,region_removed_or_unresolved
NX-Tech,Corea del Sur,Corea del Sur,S/D,S/D,Corea del Sur,S/D,city_removed_or_unresolved
BEP Korea,Corea del Sur,Corea del Sur,S/D,S/D,Corea del Sur,S/D,city_removed_or_unresolved
Cortexia,Suiza,Suiza,S/D,S/D,Suiza,S/D,city_removed_or_unresolved
SolarMonkey,Países Bajos,Países Bajos,S/D,S/D,Países Bajos,S/D,city_removed_or_unresolved
New Cleo,Reino Unido,Reino Unido,Turín,S/D,Londres,Londres,region_removed_or_unresolved
Ohmium,Estados Unidos,Estados Unidos,Fremont,S/D,Bangalore,Bangalore,region_removed_or_unresolved
