raw_value,normalized_value,count
S/D,S/D,1820
Tel Aviv,S/D,331
Israel,S/D,62
CA,S/D,54
Herzliya,S/D,50
Ramat Gan,S/D,37
Jerusalem,S/D,30
Petah Tikva,S/D,23
MA,Massachusetts,19
Raanana,S/D,18
Netanya,S/D,17
tel aviv,S/D,16
NY,S/D,14
Tel,S/D,14
Haifa,S/D,13
Kfar Saba,S/D,12
Rosh Haayin,S/D,9
TX,Texas,9
Ra'anana,S/D,8
Hod Hasharon,S/D,7
Eilat,S/D,6
ON,Ontario,6
תל אביב יפו,S/D,6
Ashdod,S/D,5
Caesarea,S/D,5
DC,District of Columbia,5
Ness Ziona,S/D,5
Rehovot,S/D,5
Alemania,S/D,4
Bnei Brak,S/D,4
CO,S/D,4
Holon,S/D,4
Karmiel,S/D,4
Kefar Sava,S/D,4
Modiin,S/D,4
Ramat HaSharon,S/D,4
Ramat Hasharon,S/D,4
Yavne,S/D,4
Yehud,S/D,4
Yokneam,S/D,4
BC,British Columbia,3
Beit Shemesh,S/D,3
Even Yehuda,S/D,3
Modi'in,S/D,3
Nesher,S/D,3
Or Yehuda,S/D,3
RI,Rhode Island,3
Ramat,S/D,3
Ramat Yishai,S/D,3
Rishon Le Zion,S/D,3
Rishon LeTsiyon,S/D,3
Rosh HaAyin,S/D,3
Ashkelon,S/D,2
Beer Sheva,S/D,2
Beit Dagan,S/D,2
Efrat,S/D,2
FL,Florida,2
Givat Shmuel,S/D,2
Herzliya Pituach,S/D,2
Hod HaSharon,S/D,2
Lod,S/D,2
MI,Michigan,2
Maharashtra,Maharashtra,2
Mefalsim,S/D,2
NJ,New Jersey,2
NY,New York,2
Nes Ziona,S/D,2
Ness Ziyyona,S/D,2
Neve Ilan,S/D,2
OK,Oklahoma,2
Omer,S/D,2
Petach Tikva,S/D,2
Plada St 11,S/D,2
TEL AVIV,S/D,2
Tel aviv,S/D,2
Tirat Karmel,S/D,2
WA,Washington,2
WI,Wisconsin,2
Yafo,S/D,2
tel,S/D,2
&#x60,S/D,1
123,S/D,1
2 Mishol Hauzrad St. Jerusalem,S/D,1
2 Zion Ariel Israel,S/D,1
33,S/D,1
5120109 Bnei,S/D,1
58,S/D,1
AZ,S/D,1
Abba Hillel,S/D,1
Africa,S/D,1
Afula,S/D,1
Ahad Ha'Am Street,S/D,1
Airport City,S/D,1
All,S/D,1
Aluf Kalman Magen Street,S/D,1
Arets Industial Zone,S/D,1
Argentina,S/D,1
Ariel,S/D,1
Ashqelon,S/D,1
Asia,S/D,1
Barzel Street 33,S/D,1
Bat Yam,S/D,1
Be&#x60,S/D,1
Beer,S/D,1
Beersheba,S/D,1
Beit Herut,S/D,1
Bene Beraq,S/D,1
Bergman,S/D,1
Binyamina Giv'at Ada,S/D,1
Bnei,S/D,1
Brasil,S/D,1
Chile,S/D,1
DE,S/D,1
Derech Menachem Begin,S/D,1
Dubnov Street,S/D,1
Dubnov Street 7,S/D,1
Ehad Ha'am,S/D,1
Ein vered,S/D,1
Erez 79,S/D,1
Eshtaol,S/D,1
Even Yehudah,S/D,1
Finlandiaia,S/D,1
Fremont,S/D,1
GAN YAVNE,S/D,1
Ganei Tikva,S/D,1
Givat Ela,S/D,1
Givat Shemuel,S/D,1
Givat Zeev,S/D,1
Givatayim,S/D,1
Gujarat,Gujarat,1
Hadera,S/D,1
Hagag Towers,S/D,1
Har Adar,S/D,1
Har Street 1,S/D,1
Haryana,Haryana,1
Harzaliya,S/D,1
Hassida 6,S/D,1
Helsinki,S/D,1
Hertsliya,S/D,1
Hertzelia,S/D,1
Hertzliya,S/D,1
Hertzliyya,S/D,1
Herzelia,S/D,1
Herzeliya,S/D,1
Herzeliya Pituah,S/D,1
Herzilya,S/D,1
Herzlyia,S/D,1
Herztelya,S/D,1
Hi,S/D,1
Hod Ha Sharon,S/D,1
Hod hasharon,S/D,1
IL,S/D,1
India,S/D,1
Irlanda,S/D,1
Irlanda del Norte,S/D,1
Israel Institute of Technology,S/D,1
Jabotinsky 2 18th floor,S/D,1
Kadima Tzoran,S/D,1
Kerala,S/D,1
Kfar,S/D,1
Kfar Netter,S/D,1
Kfar Sava,S/D,1
Kfar Tapuah,S/D,1
Kfar Yona,S/D,1
Kfar saba,S/D,1
Khaluts Street 46,S/D,1
Kharuv 8,S/D,1
Kibbutz Givat Haim Ihud,S/D,1
Kibbutz Horashim,S/D,1
Kiryat,S/D,1
Kiryat Ata,S/D,1
Kiryat Bialik,S/D,1
Kiryat Ono,S/D,1
Kiryat Yearim,S/D,1
Kona,S/D,1
LA,S/D,1
Latam,S/D,1
Lehavim,S/D,1
Levi Street 23,S/D,1
Lievegem,S/D,1
MD,Maryland,1
Maale Adumim,S/D,1
Maccabbi St.,S/D,1
Madrid,S/D,1
Matan,S/D,1
Mazkeret Batya,S/D,1
Mazor,S/D,1
Modi'in Ilit,S/D,1
Moshav Mazor,S/D,1
NC,North Carolina,1
Nazareth Illit,S/D,1
Ness Tsiona,S/D,1
Netivot,S/D,1
Neve Ative,S/D,1
Neve Yaraq,S/D,1
Nigeria,S/D,1
Nordia,S/D,1
PA,S/D,1
Pardes,S/D,1
Pardes Chana,S/D,1
Pardes Hanna,S/D,1
Polonia,S/D,1
Port Harcourt,S/D,1
QC,Quebec,1
Qadima,S/D,1
Qatsrin,S/D,1
Qiriat Onu,S/D,1
Queensland,Queensland,1
Ramot HaShavim,S/D,1
Ramot Hashavim,S/D,1
Rannana,S/D,1
Raänana,S/D,1
Reino Unido,S/D,1
Renania del Norte,S/D,1
Rimon Street 76,S/D,1
Rishon LeTzion,S/D,1
Rishon LeZion,S/D,1
Rishon Lezion,S/D,1
Rishpon,S/D,1
Rosario,S/D,1
Rosh,S/D,1
Rosh Ha'ain,S/D,1
Río Cuarto,S/D,1
SP,S/D,1
Santa Fe,S/D,1
Sapir,S/D,1
Schocken Street,S/D,1
Sde Warburg,S/D,1
Sderot,S/D,1
Shenzhen,S/D,1
Singapur,S/D,1
Sira St 1,S/D,1
Sivim St 30,S/D,1
Skellefteå,S/D,1
Snunit,S/D,1
TN,S/D,1
Tavori,S/D,1
Tchelet Street 17,S/D,1
Turquía,S/D,1
Turín,S/D,1
Tzoran,S/D,1
VA,S/D,1
Venado Tuerto,S/D,1
WV,S/D,1
Washington,Washington,1
Weizmann Street,S/D,1
YETSIRA,S/D,1
Yahud Monoson,S/D,1
Yahud monoson,S/D,1
Yam,S/D,1
Yegi'a Kapayim St 21,S/D,1
Yehudim St 89,S/D,1
Yehudim Street 85,S/D,1
Yehudim Street 89,S/D,1
Yesod Street 2,S/D,1
Yetsira St 24,S/D,1
Yokne'am Illit,S/D,1
Yokneam Ilit,S/D,1
akko,S/D,1
beer sheva,S/D,1
even,S/D,1
hadera,S/D,1
hod hasharon,S/D,1
holon,S/D,1
jerusalem,S/D,1
kfar saba,S/D,1
kiryat gat,S/D,1
netanya,S/D,1
raanana,S/D,1
ramat gan,S/D,1
round building,S/D,1
shoham po.box 3535,S/D,1
sin contacto,S/D,1
tsionut,S/D,1
באר שבע,S/D,1
יקנעם עילית,S/D,1
ירושלים,S/D,1
נתניה,S/D,1
רמת גן,S/D,1
