name;website;vertical;sub_vertical;location;country_raw;region_raw;city_raw;country_normalized;region_normalized;city_normalized;logo_url;estadio_actual;solucion;mail;social_media;contact_phone;founders;founded;organization_type;outcome_status;business_model;badges;notes;status;lat;lng;geocode_source;existing_id;match_basis;changed_fields;review_reasons
Spoiler Alert;https://www.spoileralert.com/?ref=failory;otra;Transversal al sector;"{""country"": ""Estados Unidos"", ""region"": ""S/D"", ""city"": ""Bostón""}";Estados Unidos;S/D;Bostón;Estados Unidos;S/D;Bostón;;;Descripcion temporal de prueba para detectar update existente 2;;;;[];;startup;;;[];;IN_REVIEW;;;backend_pending;c5d151a5-2655-11f1-9fe3-f2bd301d25df;pair;sub_vertical, location, solucion, founded;
Greyparrot;https://www.greyparrot.ai/?ref=failory;otra;recycling;"{""country"": ""Reino Unido"", ""region"": ""S/D"", ""city"": ""S/D""}";Reino Unido;S/D;S/D;Reino Unido;S/D;S/D;;;Plataforma IA de análisis inteligente de residuos, que identifica y clasifica materiales en plantas de reciclaje y proporciona datos accionables a marcas y operadores para mejorar la recuperabilidad y diseño circular de empaques.;;;;[];;startup;;;[];;IN_REVIEW;;;backend_pending;c605105a-2655-11f1-9fe3-f2bd301d25df;pair;sub_vertical, location, solucion, founded;
NoPalm-Ingredients;https://www.nopalm-ingredients.com/?ref=failory;otra;Agri-food Upcycling;"{""country"": ""Países Bajos"", ""region"": ""S/D"", ""city"": ""S/D""}";Países Bajos;S/D;S/D;Países Bajos;S/D;S/D;;;Foodtech/biotech que produce alternativas sostenibles a los aceites de palma mediante fermentación y uso de subproductos lácteos, reduciendo impacto ambiental y promoviendo circularidad.;;;;[];;startup;;;[];;IN_REVIEW;;;backend_pending;c606cdb5-2655-11f1-9fe3-f2bd301d25df;pair;sub_vertical, location, solucion, founded;
Vytal;https://www.vytal.org/?ref=failory;circular_economy;Packaging Reutilizable;"{""country"": ""Alemania"", ""region"": ""S/D"", ""city"": ""Colonia""}";Alemania;Renania del Norte;Colonia;Alemania;S/D;Colonia;;series_a_/_growth;Sistema de packaging reutilizable para take-away y delivery, con software de gestión de contenedores. Los usuarios toman prestados los envases de socios y los devuelven en cualquier punto de la red.;;"{""linkedin"": ""https://www.linkedin.com/company/vytal-global/""}";;"[""Dr. Tim Breker"", ""Dr. Fabian Barthel"", ""Sven Witth\u00f6ft"", ""Dr. Josephine Kreische""]";2019.0;startup;;;[];;IN_REVIEW;;;backend_pending;c5db56da-2655-11f1-9fe3-f2bd301d25df;pair;vertical, sub_vertical, location, estadio_actual, solucion, social_media, founders, founded;region_removed_or_unresolved
Paptic;http://www.paptic.com/?ref=failory;otra;Packaging Sostenible;"{""country"": ""Finlandia"", ""region"": ""S/D"", ""city"": ""Espoo""}";Finlandia;Finlandiaia;Espoo;Finlandia;S/D;Espoo;;series_a_/_growth;Material de packaging renovable y reciclable a base de fibras de madera para reemplazar plásticos en empaques flexibles. Se puede reciclar junto al cartón y el papel.;;"{""linkedin"": ""https://www.linkedin.com/company/paptic-ltd""}";;"[""Esa Torniainen"", ""Karita Kinnunen-Raudaskoski"", ""Tuomas Mustonen""]";2015.0;startup;;;[];;IN_REVIEW;;;backend_pending;c5db4d47-2655-11f1-9fe3-f2bd301d25df;pair;sub_vertical, location, estadio_actual, solucion, social_media, founders, founded;region_removed_or_unresolved
Ecobean;https://ecobean.pl/?ref=failory;circular_economy;Valorización de Residuos de Café;"{""country"": ""Polonia"", ""region"": ""S/D"", ""city"": ""Varsovia""}";Polonia;Polonia;Varsovia;Polonia;S/D;Varsovia;;early_stage_/_seed;Empresa tecnológica que extiende la cadena de valor del café convirtiéndolo en materias primas verdes y químicos sostenibles. Recoge posos de café Estados Unidosdos y los transforma en materiales circulares. Spin-out de Warsaw University of Technology.;;"{""linkedin"": ""https://www.linkedin.com/company/eco-bean/""}";;"[""Marcin Koziorowski"", ""Kacper Kossowski""]";;startup;;;[];;IN_REVIEW;;;backend_pending;c608e68c-2655-11f1-9fe3-f2bd301d25df;pair;vertical, sub_vertical, location, estadio_actual, solucion, social_media, founders, founded;region_removed_or_unresolved
Rad Power Bikes;http://www.radpowerbikes.com/?ref=failory;otra;Bicicletas Eléctricas;"{""country"": ""Estados Unidos"", ""region"": ""Washington"", ""city"": ""Seattle""}";Estados Unidos.;Washington;Seattle;Estados Unidos;Washington;Seattle;;growth_/_late_stage;Marca de bicicletas eléctricas más grande de Norteamérica. Modelo de venta directa al consumidor (D2C). Ofrece e-bikes para uso personal, carga y entrega. Democratiza la movilidad eléctrica de bajo carbono.;;"{""linkedin"": ""https://www.linkedin.com/company/rad-power-bikes""}";;"[""Mike Radenbaugh"", ""Ty Collins"", ""Marimar White-Espin""]";2007.0;startup;;;[];;IN_REVIEW;;;backend_pending;c60a96e4-2655-11f1-9fe3-f2bd301d25df;pair;sub_vertical, location, logo_url, estadio_actual, solucion, social_media, founders, founded;
Scindo;https://www.scindo.bio/?ref=failory;otra;Biotecnología / Plásticos Bio;"{""country"": ""Reino Unido"", ""region"": ""S/D"", ""city"": ""Londres""}";Reino Unido;S/D;Londres;Reino Unido;S/D;Londres;;seed;Desarrolla enzimas y microorganismos para descomponer plásticos y biomasa lignocelulósica en materiales de valor.;;"{""linkedin"": ""linkedin.com/company/scindo-bio""}";;"[""N/D""]";2022.0;startup;activa;b2b · licencias biotecnológicas;[];Plásticos difíciles de reciclar encuentran ruta biológica de degradación.;IN_REVIEW;;;backend_pending;c608b6f2-2655-11f1-9fe3-f2bd301d25df;pair;sub_vertical, location, estadio_actual, solucion, social_media, founders, founded, outcome_status, business_model, notes;
Electric Hydrogen;https://www.eh2.com/?ref=failory;otra;Hidrógeno Verde;"{""country"": ""Estados Unidos"", ""region"": ""S/D"", ""city"": ""San Carlos""}";Estados Unidos;CA;San Carlos;Estados Unidos;S/D;San Carlos;;series_c+;Electrolizadores de alta eficiencia PEM para producción de hidrógeno verde a gran escala.;;"{""linkedin"": ""linkedin.com/company/electric-hydrogen""}";;"[""David Eaglesham"", ""Raffi Garabedian (ex-CEO First Solar)""]";2020.0;startup;activa;b2b · venta de electrolizadores + proyectos;[];H₂ verde para fertilizantes, acero, petroquímica. Elimina emisiones de proceso.;IN_REVIEW;;;backend_pending;c60aa30d-2655-11f1-9fe3-f2bd301d25df;pair;sub_vertical, location, logo_url, estadio_actual, solucion, social_media, founders, founded, outcome_status, business_model, notes;region_removed_or_unresolved
Arcadia;https://www.arcadia.com/?ref=failory;otra;Datos de Energía / SaaS;"{""country"": ""Estados Unidos"", ""region"": ""District of Columbia"", ""city"": ""Washington""}";Estados Unidos;DC;Washington;Estados Unidos;District of Columbia;Washington;;series_d;Plataforma de datos de energía (Arc) para que empresas accedan a datos de facturas y consumo.;;"{""linkedin"": ""linkedin.com/company/arcadia-power"", ""twitter"": ""twitter.com/arcadiapower""}";;"[""Kiran Bhatraju""]";2014.0;startup;activa;b2b · api de datos energéticos + marketplace;[];Facilita electrificación y gestión de demanda.;IN_REVIEW;;;backend_pending;c60a926d-2655-11f1-9fe3-f2bd301d25df;pair;sub_vertical, location, logo_url, estadio_actual, solucion, social_media, founders, founded, outcome_status, business_model, notes;
