name;website;vertical;sub_vertical;location;country_raw;region_raw;city_raw;country_normalized;region_normalized;city_normalized;logo_url;estadio_actual;solucion;mail;social_media;contact_phone;founders;founded;organization_type;outcome_status;business_model;badges;notes;status;lat;lng;geocode_source
Spoiler Alert;https://www.spoileralert.com/?ref=failory;otra;Transversal al sector;"{""country"": ""Estados Unidos"", ""region"": ""S/D"", ""city"": ""Bostón""}";Estados Unidos;S/D;Bostón;Estados Unidos;S/D;Bostón;;;El software que permite a los socios comerciales de fabricaciÃ³n, venta al por mayor y al por menor llevar inventario de alta calidad a las casas adecuadas a los precios justos.;;;;[];;startup;;;[];;IN_REVIEW;;;backend_pending
HyProMag;https://hypromag.com/?ref=failory;otra;recycling;"{""country"": ""Reino Unido"", ""region"": ""S/D"", ""city"": ""S/D""}";Reino Unido;S/D;S/D;Reino Unido;S/D;S/D;;;La tecnologÃ­a principal que comercializa HyProMag es el Procesamiento de HidrÃ³geno de Chatarra MagnÃ©tica (HPMS), patentado y de alta eficiencia energÃ©tica, para extraer y desmagnetizar polvos de aleaciÃ³n de NdFeB (neodimio-hierro-boro) de los imanes incrustados en chatarra y equipos redundantes.;;;;[];;startup;;;[];;IN_REVIEW;;;backend_pending
DePoly;https://www.depoly.co/?ref=failory;otra;Waste Valorization;"{""country"": ""Suiza"", ""region"": ""S/D"", ""city"": ""S/D""}";Suiza;S/D;S/D;Suiza;S/D;S/D;;;Empresa de reciclaje quÃ­mico de plÃ¡sticos que desarrolla tecnologÃ­a para despolimerizar residuos PET y poliÃ©ster en materias primas reutilizables, apoyando la transiciÃ³n a una economÃ­a circular del plÃ¡stico;;;;[];;startup;;;[];;IN_REVIEW;;;backend_pending
Glacier;https://endwaste.io/?ref=failory;otra;Waste Valorization;"{""country"": ""Estados Unidos"", ""region"": ""S/D"", ""city"": ""San Francisco""}";Estados Unidos;S/D;San Francisco;Estados Unidos;S/D;San Francisco;;;construimos robots de Ãºltima generaciÃ³n que hacen que el reciclaje sea eficiente, rentable y circular. Nuestros sistemas combinan la visiÃ³n artificial con la robÃ³tica para recuperar mÃ¡s materiales a menor coste.;;;;[];;startup;;;[];;IN_REVIEW;;;backend_pending
800 Super Holdings;https://www.800super.com.sg/?ref=failory;otra;recycling;"{""country"": ""Singapur"", ""region"": ""S/D"", ""city"": ""Sembawang""}";Singapur;S/D;Sembawang;Singapur;S/D;Sembawang;;;Ofrecen soluciones ambientales para organizacines pÃºblicas o privadas: como gestiÃ³n y tratamiento de residuos, limpieza y conservaciÃ³n, y servicios de horticultura.;;;;[];;startup;;;[];;IN_REVIEW;;;backend_pending
Greyparrot;https://www.greyparrot.ai/?ref=failory;otra;recycling;"{""country"": ""Reino Unido"", ""region"": ""S/D"", ""city"": ""S/D""}";Reino Unido;S/D;S/D;Reino Unido;S/D;S/D;;;Plataforma IA de anÃ¡lisis inteligente de residuos, que identifica y clasifica materiales en plantas de reciclaje y proporciona datos accionables a marcas y operadores para mejorar la recuperabilidad y diseÃ±o circular de empaques.;;;;[];;startup;;;[];;IN_REVIEW;;;backend_pending
NoPalm-Ingredients;https://www.nopalm-ingredients.com/?ref=failory;otra;Agri-food Upcycling;"{""country"": ""Países Bajos"", ""region"": ""S/D"", ""city"": ""S/D""}";Países Bajos;S/D;S/D;Países Bajos;S/D;S/D;;;Foodtech/biotech que produce alternativas sostenibles a los aceites de palma mediante fermentaciÃ³n y uso de subproductos lÃ¡cteos, reduciendo impacto ambiental y promoviendo circularidad.;;;;[];;startup;;;[];;IN_REVIEW;;;backend_pending
Infiniti Recycling;https://infinitirecycling.com/?ref=failory;otra;recycling;"{""country"": ""Reino Unido"", ""region"": ""S/D"", ""city"": ""Cambridge""}";Inglaterra;S/D;Cambridge;Reino Unido;S/D;Cambridge;;;Nuestro enfoque de economÃ­a circular se centra en recuperar materiales valiosos de las baterÃ­as Estados Unidosdas y reintroducirlos en la producciÃ³n de nuevas baterÃ­as u otras aplicaciones.;;;;[];;startup;;;[];;IN_REVIEW;;;backend_pending
Ace Green Recycling;https://www.acegreenrecycling.com/?ref=failory;otra;recycling;"{""country"": ""Estados Unidos"", ""region"": ""S/D"", ""city"": ""Houston""}";Estados Unidos;S/D;Houston;Estados Unidos;S/D;Houston;;;Una innovadora plataforma tecnolÃ³gica de reciclaje de baterÃ­as que ofrece soluciones sostenibles para el final de su vida Ãºtil.;;;;[];;startup;;;[];;IN_REVIEW;;;backend_pending
Fourth Partner Energy;http://fourthpartner.co/?ref=failory;otra;recycling;"{""country"": ""India"", ""region"": ""S/D"", ""city"": ""S/D""}";India;S/D;S/D;India;S/D;S/D;;;Nos dedicamos a transformar las fuentes de energÃ­a de las organizaciones, en energÃ­a limpia, confiable y disponible las 24 horas.Impulsando un planeta mÃ¡s limpio y verde para las generaciones futuras;;;;[];;startup;;;[];;IN_REVIEW;;;backend_pending
